,len_warm,avg_warm_temp,highest_warm,lowest_warm,len_cold,avg_cold_temp,lowest_cold,highest_cold,seasonal_var,len_clearer,clear,len_cloudy,cloudy,shortest_day,longest_day
162,2.9 months,71°F,78°F,56°F,3.7 months,49°F,29°F,43°F,significant,3.5 months,71%,3.5 months,71%,"8 hours, 43 minutes","15 hours, 41 minutes"
163,3.2 months,68°F,76°F,56°F,3.6 months,45°F,28°F,37°F,significant,6.5 months,59%,6.5 months,59%,"8 hours, 4 minutes","16 hours, 23 minutes"
164,3.4 months,66°F,73°F,56°F,3.8 months,44°F,29°F,37°F,significant,6.5 months,56%,6.5 months,56%,"7 hours, 27 minutes","17 hours, 4 minutes"
165,2.9 months,89°F,97°F,68°F,3.6 months,68°F,42°F,61°F,significant,3.0 months,93%,3.0 months,93%,"9 hours, 35 minutes","14 hours, 45 minutes"
166,3.0 months,64°F,69°F,54°F,4.0 months,49°F,35°F,44°F,significant,5.2 months,55%,5.2 months,55%,"7 hours, 29 minutes","17 hours, 1 minute"
167,3.2 months,65°F,72°F,55°F,3.7 months,44°F,29°F,38°F,significant,6.4 months,56%,6.4 months,56%,"7 hours, 56 minutes","16 hours, 31 minutes"
168,3.4 months,74°F,83°F,58°F,3.3 months,46°F,22°F,37°F,significant,3.4 months,88%,3.4 months,88%,"9 hours, 2 minutes","15 hours, 20 minutes"
169,3.0 months,66°F,70°F,57°F,4.0 months,51°F,37°F,47°F,significant,6.5 months,58%,6.5 months,58%,"7 hours, 56 minutes","16 hours, 32 minutes"
170,2.7 months,82°F,89°F,70°F,4.0 months,59°F,39°F,53°F,significant,3.4 months,84%,3.4 months,84%,"8 hours, 57 minutes","15 hours, 26 minutes"
171,3.0 months,64°F,72°F,56°F,4.0 months,40°F,22°F,32°F,significant,5.7 months,57%,5.7 months,57%,"6 hours, 5 minutes","18 hours, 37 minutes"
172,3.2 months,71°F,78°F,58°F,3.6 months,47°F,31°F,42°F,significant,3.9 months,62%,3.9 months,62%,"8 hours, 17 minutes","16 hours, 8 minutes"
173,3.1 months,69°F,77°F,57°F,3.6 months,47°F,28°F,39°F,significant,3.9 months,61%,3.9 months,61%,"8 hours, 15 minutes","16 hours, 10 minutes"
174,2.8 months,62°F,66°F,54°F,4.0 months,48°F,36°F,45°F,mild,5.3 months,52%,5.3 months,52%,"7 hours, 11 minutes","17 hours, 21 minutes"
175,3.1 months,63°F,67°F,56°F,4.0 months,50°F,38°F,46°F,significant,6.3 months,56%,6.3 months,56%,"7 hours, 49 minutes","16 hours, 40 minutes"
176,3.5 months,72°F,81°F,62°F,3.5 months,46°F,27°F,37°F,significant,4.9 months,71%,4.9 months,71%,"8 hours, 29 minutes","15 hours, 56 minutes"
177,3.0 months,62°F,71°F,55°F,3.9 months,37°F,19°F,28°F,significant,5.6 months,59%,5.6 months,59%,"6 hours, 3 minutes","18 hours, 40 minutes"
178,2.8 months,82°F,89°F,70°F,4.2 months,62°F,41°F,55°F,significant,3.1 months,93%,3.1 months,93%,"9 hours, 17 minutes","15 hours, 4 minutes"
179,3.6 months,75°F,84°F,61°F,3.1 months,47°F,26°F,37°F,significant,3.7 months,77%,3.7 months,77%,"8 hours, 40 minutes","15 hours, 43 minutes"
180,3.1 months,76°F,84°F,66°F,3.4 months,52°F,31°F,44°F,significant,3.1 months,75%,3.1 months,75%,"8 hours, 45 minutes","15 hours, 38 minutes"
181,3.1 months,76°F,83°F,63°F,3.7 months,55°F,36°F,49°F,significant,3.3 months,78%,3.3 months,78%,"8 hours, 56 minutes","15 hours, 26 minutes"
182,3.0 months,72°F,79°F,59°F,3.7 months,52°F,36°F,47°F,significant,4.9 months,66%,4.9 months,66%,"8 hours, 27 minutes","15 hours, 57 minutes"
183,4.1 months,71°F,83°F,63°F,3.3 months,36°F,8°F,24°F,significant,4.3 months,74%,4.3 months,74%,"8 hours, 51 minutes","15 hours, 32 minutes"
184,2.9 months,65°F,71°F,55°F,4.0 months,50°F,35°F,45°F,significant,5.8 months,57%,5.8 months,57%,"7 hours, 42 minutes","16 hours, 46 minutes"
185,3.1 months,63°F,71°F,53°F,4.0 months,38°F,20°F,30°F,significant,5.6 months,57%,5.6 months,57%,"5 hours, 55 minutes","18 hours, 49 minutes"
186,2.9 months,78°F,86°F,58°F,3.6 months,54°F,33°F,47°F,significant,3.4 months,85%,3.4 months,85%,"9 hours, 9 minutes","15 hours, 12 minutes"
187,2.9 months,82°F,88°F,74°F,4.1 months,65°F,50°F,59°F,significant,3.1 months,99%,3.1 months,99%,"9 hours, 43 minutes","14 hours, 36 minutes"
188,3.2 months,75°F,83°F,67°F,3.5 months,52°F,33°F,44°F,significant,3.1 months,75%,3.1 months,75%,"8 hours, 43 minutes","15 hours, 41 minutes"
189,3.4 months,77°F,86°F,67°F,3.3 months,51°F,31°F,43°F,significant,3.1 months,75%,3.1 months,75%,"8 hours, 43 minutes","15 hours, 41 minutes"
190,3.0 months,74°F,78°F,61°F,3.5 months,60°F,44°F,56°F,significant,3.3 months,82%,3.3 months,82%,"9 hours, 5 minutes","15 hours, 16 minutes"
191,3.6 months,65°F,74°F,57°F,3.9 months,38°F,19°F,29°F,significant,6.1 months,58%,6.1 months,58%,"7 hours, 14 minutes","17 hours, 18 minutes"
192,2.8 months,88°F,90°F,76°F,4.2 months,82°F,66°F,80°F,extreme,6.4 months,77%,6.4 months,77%,"10 hours, 54 minutes","13 hours, 22 minutes"
193,3.6 months,67°F,76°F,58°F,3.7 months,41°F,24°F,33°F,significant,6.5 months,58%,6.5 months,58%,"7 hours, 43 minutes","16 hours, 46 minutes"
194,3.1 months,67°F,74°F,56°F,3.7 months,45°F,29°F,39°F,significant,6.4 months,58%,6.4 months,58%,"7 hours, 59 minutes","16 hours, 28 minutes"
195,3.2 months,69°F,77°F,58°F,3.6 months,46°F,30°F,41°F,significant,6.4 months,59%,6.4 months,59%,"8 hours, 4 minutes","16 hours, 23 minutes"
196,3.2 months,66°F,72°F,56°F,3.7 months,46°F,31°F,40°F,significant,6.6 months,56%,6.6 months,56%,"7 hours, 52 minutes","16 hours, 36 minutes"
197,3.2 months,69°F,76°F,57°F,3.6 months,45°F,28°F,38°F,significant,6.5 months,60%,6.5 months,60%,"8 hours, 6 minutes","16 hours, 20 minutes"
198,3.4 months,73°F,82°F,62°F,3.3 months,47°F,27°F,39°F,significant,4.5 months,73%,4.5 months,73%,"8 hours, 40 minutes","15 hours, 44 minutes"
199,2.4 months,77°F,79°F,53°F,2.1 months,72°F,43°F,70°F,extreme,6.7 months,71%,6.7 months,71%,"10 hours, 59 minutes","13 hours, 17 minutes"
200,3.3 months,66°F,74°F,56°F,3.7 months,43°F,28°F,37°F,significant,6.0 months,56%,6.0 months,56%,"7 hours, 57 minutes","16 hours, 30 minutes"
